title,media,date,datetime,desc,link
"India's sugar output up 5.39%, produced 25.4 mn tonnes so far this season",Krishak Jagat,4 hours ago,2023-02-21 21:39:28.726214,"Indian mills have produced 25.4 million tonnes of sugar since the current season began on Oct. 1, up 5.39% year on year, the Indian Sugar Mills Association...",https://www.en.krishakjagat.org/agriculture-industry/indias-sugar-output-up-5-39-produced-25-4-mn-tonnes-so-far-this-season/
"Former union minister talks about benefits of AI in agriculture, education and more",Times of India,4 hours ago,2023-02-21 21:39:28.736208,"At the 17th India Digital Summit (IDS 2023), Prof. Suresh Prabhu, Founding Chancellor of Rishihood University, Guest Professor of the London School of.",https://m.timesofindia.com/gadgets-news/former-union-minister-talks-about-benefits-of-ai-in-agriculture-education-and-more/articleshow/98128838.cms
Use of English words irks CM Nitish Kumar at agriculture event,The Indian Express,8 hours ago,2023-02-21 17:39:28.743393,"I want to point out to you the incongruity of using so many English words. Is it England? You are working in Bihar, practising agriculture which is the...",https://indianexpress.com/article/cities/patna/use-of-english-words-irks-cm-nitish-kumar-at-agriculture-event/
Wheat crisis: High heat in February cause of worry for critical Rabi crop,Down To Earth,8 hours ago,2023-02-21 17:39:28.753608,"The month of February has been abnormally warm. For agriculture, it is a reminder of last year's unusual temperatures in March and its impact on the...",https://www.downtoearth.org.in/news/agriculture/wheat-crisis-high-heat-in-february-cause-of-worry-for-critical-rabi-crop-87829
"MC Exclusive | Not Make in India, but agri reforms to drive India’s growth: Salvatore Babones",Moneycontrol,0 hours ago,2023-02-22 01:39:28.754671,"India can accelerate its growth to becoming an upper middle-income economy by focusing on increasing agricultural productivity, says the associate professor...",https://www.moneycontrol.com/news/business/economy/mc-exclusive-not-make-in-india-but-agri-reforms-to-drive-indias-growth-salvatore-babones-10136061.html
Watch How Tata Motors Drives The Growth Of India's Agricultural And Allied Sectors,YouTube,2 hours ago,2023-02-21 23:39:28.755661,Timely distribution of agricultural produce is the key for Food Production chain. Here's how Tata motors heavy commercial vehicles drives a robust inbound...,https://www.youtube.com/watch?v=w12QSAsdSEM
G20 2023: First Agriculture Working Group Meeting Starts In Indore,The Logical Indian,2 hours ago,2023-02-21 23:39:28.756670,The first meeting of Agriculture Deputies under India's G20 presidency began at Madhya Pradesh's Indore today. It will be a three-day event ending February...,https://thelogicalindian.com/videos/g20-2023-first-agriculture-working-group-meeting-starts-in-indore-40454
CropLife India conducts workshop on ‘Innovative Technologies in Crop Protection’ in Telangana,Agriculture Post,4 hours ago,2023-02-21 21:39:28.757657,"Innovative Technologies in Crop Protection, Kisan Drones, Integrated Pest Management, PPE Kits, Rural Entrepreneurs, Sustainable Agriculture.",https://agriculturepost.com/farm-inputs/agrochemicals/croplife-india-conducts-workshop-on-innovative-technologies-in-crop-protection-in-telangana/
Bumper Indian wheat crop no guarantee export ban will lift,Grain Central,9 hours ago,2023-02-21 16:39:28.758582,WHEAT production in India is expected to rebound to record levels in 2023 after high domestic prices encouraged farmers to expand their planted area in the...,https://www.graincentral.com/markets/bumper-indian-wheat-crop-no-guarantee-export-ban-will-lift/
Key fertiliser maker slashes prices by 14%,Hindustan Times,1 day ago,2023-02-21 01:39:28.768667,"India's largest manufacturer of fertilizers, IFFCO Ltd, has decided to cut prices of a widely used mix of crop nutrients by nearly 14%, according to a...",https://www.hindustantimes.com/india-news/key-fertiliser-maker-slashes-prices-by-14-101676921880252.html
